상품명,상품코드,합계,10-01  수,10-02  목,10-03  금,10-04  토,10-05  일,10-06  월,10-07  화,10-08  수,10-09  목,10-10  금,10-11  토,10-12  일,10-13  월,10-14  화,10-15  수,10-16  목,10-17  금,10-18  토,10-19  일,10-20  월,10-21  화,10-22  수,10-23  목,10-24  금,10-25  토,10-26  일,10-27  월,10-28  화,10-29  수,10-30  목,10-31  금,11-01  토,11-02  일,11-03  월,11-04  화,11-05  수,11-06  목,11-07  금,11-08  토,11-09  일,11-10  월,11-11  화,11-12  수,11-13  목,11-14  금,11-15  토,11-16  일,11-17  월,11-18  화,11-19  수,11-20  목,11-21  금,11-22  토,11-23  일,11-24  월,11-25  화,11-26  수,11-27  목,11-28  금,11-29  토,11-30  일,12-01  월,12-02  화,12-03  수,12-04  목,12-05  금,12-06  토,12-07  일,12-08  월,12-09  화,12-10  수,12-11  목,12-12  금,12-13  토,12-14  일,12-15  월,12-16  화,12-17  수,12-18  목,12-19  금,12-20  토,12-21  일,12-22  월,12-23  화,12-24  수,12-25  목,12-26  금,12-27  토,12-28  일,12-29  월,12-30  화,12-31  수,01-01  목,01-02  금,01-03  토,01-04  일,01-05  월,01-06  화,01-07  수,01-08  목,01-09  금,01-10  토,01-11  일,01-12  월,01-13  화,01-14  수,01-15  목,01-16  금,01-17  토,01-18  일,01-19  월,01-20  화,01-21  수,01-22  목,01-23  금,01-24  토,01-25  일,01-26  월,01-27  화,01-28  수,01-29  목,01-30  금,09-01  월,09-02  화,09-03  수,09-04  목,09-05  금,09-06  토,09-07  일,09-08  월,09-09  화,09-10  수,09-11  목,09-12  금,09-13  토,09-14  일,09-15  월,09-16  화,09-17  수,09-18  목,09-19  금,09-20  토,09-21  일,09-22  월,09-23  화,09-24  수,09-25  목,09-26  금,09-27  토,09-28  일,09-29  월,09-30  화
실속만점 가정용 하우스 한라봉&레드향,SMF34633170,2460 81 (3.29%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70  2  (2.86%),59  4  (6.78%),55  0  (0%),66  3  (4.55%),100  2  (2%),137  5  (3.65%),187  3  (1.6%),173  5  (2.89%),103  5  (4.85%),69  1  (1.45%),83  5  (6.02%),99  3  (3.03%),188  8  (4.26%),188  7  (3.72%),135  4  (2.96%),97  3  (3.09%),77  2  (2.6%),57  2  (3.51%),58  2  (3.45%),84  2  (2.38%),84  3  (3.57%),77  6  (7.79%),57  0  (0%),47  1  (2.13%),50  2  (4%),22  1  (4.55%),10  0  (0%),18  0  (0%),9  0  (0%),1  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과즙폭발 겨울의 꽃 조생 감귤,SMF78619818,2456 175 (7.13%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70  2  (2.86%),74  11  (14.86%),74  3  (4.05%),66  7  (10.61%),126  7  (5.56%),115  10  (8.7%),140  8  (5.71%),152  16  (10.53%),81  4  (4.94%),72  3  (4.17%),92  5  (5.43%),92  10  (10.87%),119  9  (7.56%),157  14  (8.92%),105  7  (6.67%),68  6  (8.82%),55  1  (1.82%),52  6  (11.54%),60  4  (6.67%),66  4  (6.06%),84  2  (2.38%),72  4  (5.56%),49  6  (12.24%),67  1  (1.49%),74  3  (4.05%),49  1  (2.04%),49  6  (12.24%),86  7  (8.14%),37  6  (16.22%),53  2  (3.77%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하우스 한라봉 깜짝 이벤트! 덤 500g 추가 증정!,SMF35431331,1701 90 (5.29%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),14  0  (0%),393  23  (5.85%),187  15  (8.02%),73  2  (2.74%),95  7  (7.37%),140  8  (5.71%),115  18  (15.65%),96  4  (4.17%),107  3  (2.8%),70  1  (1.43%),68  3  (4.41%),69  2  (2.9%),41  0  (0%),57  1  (1.75%),70  2  (2.86%),70  1  (1.43%),36  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주산 구좌 흙당근 비세척,SMF13606317,1563 66 (4.22%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60  2  (3.33%),37  4  (10.81%),31  0  (0%),37  0  (0%),79  4  (5.06%),57  4  (7.02%),86  3  (3.49%),71  6  (8.45%),46  0  (0%),32  0  (0%),47  3  (6.38%),59  3  (5.08%),96  6  (6.25%),61  1  (1.64%),94  2  (2.13%),62  2  (3.23%),58  3  (5.17%),37  1  (2.7%),47  4  (8.51%),30  0  (0%),42  1  (2.38%),55  1  (1.82%),35  1  (2.86%),39  2  (5.13%),38  2  (5.26%),30  1  (3.33%),48  5  (10.42%),63  2  (3.17%),45  3  (6.67%),41  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"해남 꿀고구마, 베니하루카 품종 포슬포슬",SMF79565974,1513 78 (5.16%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99  2  (2.02%),39  8  (20.51%),37  1  (2.7%),38  2  (5.26%),78  9  (11.54%),89  3  (3.37%),99  1  (1.01%),162  9  (5.56%),48  2  (4.17%),28  0  (0%),36  1  (2.78%),47  1  (2.13%),78  4  (5.13%),76  7  (9.21%),53  5  (9.43%),34  2  (5.88%),39  1  (2.56%),13  1  (7.69%),38  1  (2.63%),42  3  (7.14%),41  1  (2.44%),24  1  (4.17%),35  2  (5.71%),28  1  (3.57%),43  3  (6.98%),34  3  (8.82%),29  0  (0%),47  2  (4.26%),25  0  (0%),34  2  (5.88%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[킹댕즈 보장!]초고당도 타이벡 감귤 2025년 첫수확,SMF28555734,1322 258 (19.52%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193  41  (21.24%),172  52  (30.23%),137  21  (15.33%),454  95  (20.93%),192  49  (25.52%),24  0  (0%),8  0  (0%),18  0  (0%),11  0  (0%),7  0  (0%),6  0  (0%),6  0  (0%),5  0  (0%),8  0  (0%),6  0  (0%),6  0  (0%),6  0  (0%),5  0  (0%),3  0  (0%),5  0  (0%),4  0  (0%),8  0  (0%),5  0  (0%),4  0  (0%),2  0  (0%),6  0  (0%),4  0  (0%),1  0  (0%),4  0  (0%),12  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엄선된 프리미엄 과일 선물세트,SMF26601701,1193 2 (0.17%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28  0  (0%),21  0  (0%),36  0  (0%),35  0  (0%),34  0  (0%),45  0  (0%),58  0  (0%),52  0  (0%),35  0  (0%),24  0  (0%),34  1  (2.94%),54  1  (1.85%),66  0  (0%),77  0  (0%),48  0  (0%),39  0  (0%),23  0  (0%),19  0  (0%),31  0  (0%),39  0  (0%),46  0  (0%),36  0  (0%),49  0  (0%),41  0  (0%),21  0  (0%),39  0  (0%),44  0  (0%),46  0  (0%),44  0  (0%),29  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
겨울 한정 초고당도 타이벡 감귤,SMF43939661,1098 32 (2.91%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),10  1  (10%),6  1  (16.67%),41  2  (4.88%),154  4  (2.6%),97  1  (1.03%),143  1  (0.7%),58  1  (1.72%),12  4  (33.33%),2  0  (0%),8  2  (25%),73  2  (2.74%),95  1  (1.05%),19  3  (15.79%),180  2  (1.11%),200  7  (3.5%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주 명품 한라봉/천혜향/레드향 설 선물세트 보자기 포장,SMF71684569,831 10 (1.2%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),25  0  (0%),27  0  (0%),57  0  (0%),68  1  (1.47%),51  0  (0%),117  1  (0.85%),169  1  (0.59%),142  1  (0.7%),89  0  (0%),86  6  (6.98%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"가정용 하우스 한라봉·천혜향·레드향 중과 2.5kg, 4.5kg",SMF79307940,664 60 (9.04%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),8  0  (0%),30  2  (6.67%),79  25  (31.65%),73  7  (9.59%),72  2  (2.78%),106  7  (6.6%),132  2  (1.52%),96  9  (9.38%),68  6  (8.82%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주 농장 산지직송 노지 한라봉 가정용 5kg 10kg,SMF56651816,415 6 (1.45%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),13  0  (0%),43  0  (0%),47  1  (2.13%),2  0  (0%),5  0  (0%),1  0  (0%),11  0  (0%),3  0  (0%),3  0  (0%),2  0  (0%),13  0  (0%),9  0  (0%),37  1  (2.7%),26  1  (3.85%),57  0  (0%),60  0  (0%),36  3  (8.33%),47  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
♥1년 중 20일만 맛 볼 수 있는 고당도 노지 황금향♥,SMF13166336,94 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3  0  (0%),5  0  (0%),7  0  (0%),9  0  (0%),3  0  (0%),6  0  (0%),4  0  (0%),0  0  (0%),2  0  (0%),1  0  (0%),1  0  (0%),1  0  (0%),3  0  (0%),1  0  (0%),3  0  (0%),6  0  (0%),4  0  (0%),4  0  (0%),2  0  (0%),1  0  (0%),1  0  (0%),4  0  (0%),3  0  (0%),3  0  (0%),2  0  (0%),1  0  (0%),2  0  (0%),6  0  (0%),4  0  (0%),2  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한라봉 레드향 천혜향 프리미엄 선물세트,SMF84291016,92 9 (9.78%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),9  0  (0%),6  0  (0%),11  0  (0%),9  0  (0%),17  5  (29.41%),8  1  (12.5%),17  0  (0%),12  3  (25%),0  0  (0%),3  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주 산지직송 황금향 선물세트 가정용,SMF29718566,79 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2  0  (0%),3  0  (0%),4  0  (0%),3  0  (0%),2  0  (0%),10  0  (0%),2  0  (0%),2  0  (0%),3  0  (0%),1  0  (0%),1  0  (0%),2  0  (0%),2  0  (0%),0  0  (0%),3  0  (0%),1  0  (0%),5  0  (0%),7  0  (0%),5  0  (0%),1  0  (0%),3  0  (0%),2  0  (0%),1  0  (0%),2  0  (0%),4  0  (0%),1  0  (0%),1  0  (0%),2  0  (0%),4  0  (0%),0  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025 첫수확 노지감귤 가정용 3kg, 5kg",SMF87846210,71 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2  0  (0%),1  0  (0%),0  0  (0%),3  0  (0%),5  0  (0%),9  0  (0%),0  0  (0%),1  0  (0%),1  0  (0%),2  0  (0%),0  0  (0%),2  0  (0%),5  0  (0%),2  0  (0%),4  0  (0%),6  0  (0%),1  0  (0%),5  0  (0%),0  0  (0%),0  0  (0%),5  0  (0%),4  0  (0%),0  0  (0%),1  0  (0%),2  0  (0%),1  0  (0%),0  0  (0%),2  0  (0%),4  0  (0%),3  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
논산 설향딸기 달콤함 가득 겨울과일,SMF37504939,59 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1  0  (0%),2  0  (0%),3  0  (0%),5  0  (0%),0  0  (0%),2  0  (0%),2  0  (0%),2  0  (0%),1  0  (0%),2  0  (0%),2  0  (0%),1  0  (0%),1  0  (0%),1  0  (0%),0  0  (0%),1  0  (0%),3  0  (0%),3  0  (0%),4  0  (0%),0  0  (0%),1  0  (0%),3  0  (0%),2  0  (0%),4  0  (0%),1  0  (0%),0  0  (0%),3  0  (0%),6  0  (0%),1  0  (0%),2  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초고당도 타이벡감귤 2025년 첫 수확,SMF87201852,53 9 (16.98%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7  2  (28.57%),1  0  (0%),2  0  (0%),0  0  (0%),3  0  (0%),4  2  (50%),3  0  (0%),4  1  (25%),4  1  (25%),0  0  (0%),0  0  (0%),0  0  (0%),1  1  (100%),2  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),5  0  (0%),0  0  (0%),3  0  (0%),3  1  (33.33%),8  1  (12.5%),0  0  (0%),2  0  (0%),0  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"해남 꿀밤고구마, 베니하루카 품종 포슬포슬",SMF88753441,53 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10  0  (0%),1  0  (0%),4  0  (0%),4  0  (0%),2  0  (0%),1  0  (0%),4  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),4  0  (0%),0  0  (0%),1  0  (0%),1  0  (0%),3  0  (0%),5  0  (0%),1  0  (0%),0  0  (0%),3  0  (0%),0  0  (0%),1  0  (0%),1  0  (0%),4  0  (0%),0  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
명품 가정용 하우스 한라봉·천혜향·레드향,SMF14208485,53 4 (7.55%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),12  2  (16.67%),3  1  (33.33%),6  1  (16.67%),5  0  (0%),8  0  (0%),17  0  (0%),1  0  (0%),1  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과즙폭발 꿀당도 보장 감귤 [유라실생],SMF28240458,47 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2  0  (0%),2  0  (0%),0  0  (0%),0  0  (0%),3  0  (0%),2  0  (0%),0  0  (0%),1  0  (0%),2  0  (0%),1  0  (0%),0  0  (0%),4  0  (0%),1  0  (0%),2  0  (0%),1  0  (0%),1  0  (0%),2  0  (0%),2  0  (0%),0  0  (0%),2  0  (0%),2  0  (0%),1  0  (0%),0  0  (0%),3  0  (0%),1  0  (0%),4  0  (0%),1  0  (0%),1  0  (0%),2  0  (0%),4  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과즙폭발 꿀당도 보장 고당도 감귤 2kg + 황금향 2kg,SMF97813435,44 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1  0  (0%),2  0  (0%),1  0  (0%),1  0  (0%),1  0  (0%),4  0  (0%),1  0  (0%),2  0  (0%),0  0  (0%),2  0  (0%),1  0  (0%),2  0  (0%),1  0  (0%),1  0  (0%),1  0  (0%),3  0  (0%),1  0  (0%),3  0  (0%),1  0  (0%),1  0  (0%),0  0  (0%),2  0  (0%),2  0  (0%),2  0  (0%),1  0  (0%),0  0  (0%),4  0  (0%),1  0  (0%),1  0  (0%),1  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주 산지직송 카라향 가정용 3kg 5kg(소중대혼합),SMF60935750,44 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1  0  (0%),1  0  (0%),2  0  (0%),3  0  (0%),1  0  (0%),1  0  (0%),1  0  (0%),1  0  (0%),0  0  (0%),2  0  (0%),2  0  (0%),2  0  (0%),0  0  (0%),1  0  (0%),3  0  (0%),2  0  (0%),0  0  (0%),1  0  (0%),1  0  (0%),3  0  (0%),1  0  (0%),2  0  (0%),2  0  (0%),0  0  (0%),1  0  (0%),2  0  (0%),1  0  (0%),2  0  (0%),5  0  (0%),0  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주 특산 초고당도 타이벡 감귤,SMF21632923,35 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),30  0  (0%),0  0  (0%),3  0  (0%),1  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초고당도 타이벡감귤 2025년 첫 수확,SMF24484057,28 11 (39.29%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1  1  (100%),0  0  (0%),0  0  (0%),2  2  (100%),1  1  (100%),1  0  (0%),2  0  (0%),2  1  (50%),1  0  (0%),0  0  (0%),3  1  (33.33%),1  0  (0%),0  0  (0%),1  1  (100%),4  0  (0%),1  0  (0%),0  0  (0%),2  1  (50%),4  2  (50%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  1  (100%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"자연그대로의 감귤 3kg, 5kg, 10kg",SMF10721403,23 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),2  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),3  0  (0%),0  0  (0%),0  0  (0%),3  0  (0%),0  0  (0%),1  0  (0%),1  0  (0%),4  0  (0%),0  0  (0%),1  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),2  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),1  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주 농장 산지직송 한라봉 가정용 선물용 3kg 5kg,SMF55565905,23 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),3  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),7  0  (0%),0  0  (0%),0  0  (0%),6  0  (0%),1  0  (0%),0  0  (0%),2  0  (0%),0  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주 농장 산지직송 레드향 가정용 선물용 3kg 5kg,SMF96597185,22 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),4  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),7  0  (0%),0  0  (0%),0  0  (0%),6  0  (0%),0  0  (0%),0  0  (0%),2  0  (0%),0  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주 농장 산지직송 천혜향 가정용 선물용 3kg 5kg,SMF25339174,22 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),0  0  (0%),2  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),3  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),7  0  (0%),0  0  (0%),0  0  (0%),6  0  (0%),0  0  (0%),1  0  (0%),1  0  (0%),0  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주 구좌 제철 당근 흙 가정용 주스용 선물용 중 상 특 3kg 5kg,SMF32871758,20 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),2  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),2  0  (0%),0  0  (0%),1  0  (0%),1  0  (0%),1  0  (0%),2  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),1  0  (0%),2  0  (0%),1  0  (0%),2  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"★특가상품★ 제주도 산지직송 노지 황금향 4KG, 10KG",SMF44782434,20 0 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),2  0  (0%),2  0  (0%),1  0  (0%),2  0  (0%),1  0  (0%),0  0  (0%),1  0  (0%),1  0  (0%),1  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),2  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과즙폭발 겨울의 꽃 조생 감귤,SMF95760083,19 1 (5.26%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),14  1  (7.14%),1  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),2  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),1  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),0  0  (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
